,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
广深铁路,601333.SH,工业,交通运输,道路运输,铁路运输,价值型
新华保险,601336.SH,金融地产,保险,保险,人寿与健康保险,混合型
百隆东方,601339.SH,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
三六零,601360.SH,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
利群股份,601366.SH,可选消费,零售业,多元化零售,百货商店,价值型
绿城水务,601368.SH,公用事业,公用事业,水务,水务,混合型
陕鼓动力,601369.SH,工业,资本品,机械制造,通用机械,混合型
中原证券,601375.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
兴业证券,601377.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
怡球资源,601388.SH,原材料,原材料,有色金属,铝,混合型
中国中铁,601390.SH,工业,资本品,建筑与工程,土木工程,价值型
工商银行,601398.SH,金融地产,银行,商业银行,综合性银行,价值型
国机重装,601399.SH,工业,资本品,建筑与工程,土木工程,成长型
国联证券,601456.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
通用股份,601500.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,价值型
中新集团,601512.SH,金融地产,房地产,房地产开发与园区,园区,价值型
东风股份,601515.SH,工业,商业服务与用品,商业服务与用品,商业印刷,价值型
吉林高速,601518.SH,工业,交通运输,交通基本设施,高速公路,价值型
大智慧,601519.SH,金融地产,资本市场,资本市场,金融交易与数据,成长型
瑞丰银行,601528.SH,金融地产,银行,商业银行,区域性银行,价值型
东吴证券,601555.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
九牧王,601566.SH,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
三星医疗,601567.SH,工业,资本品,电气设备,电气部件与设备,成长型
北元集团,601568.SH,原材料,原材料,化学原料,化学原料,混合型
长沙银行,601577.SH,金融地产,银行,商业银行,区域性银行,价值型
会稽山,601579.SH,主要消费,食品、饮料与烟草,饮料,黄酒,价值型
北辰实业,601588.SH,金融地产,房地产,房地产开发与园区,房地产开发,成长型
上海电影,601595.SH,可选消费,传媒,传媒,电影与娱乐,价值型
中国外运,601598.SH,工业,交通运输,航空货运与物流,物流,价值型
浙文影业,601599.SH,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
中国铝业,601600.SH,原材料,原材料,有色金属,铝,价值型
中国太保,601601.SH,金融地产,保险,保险,多元化保险,价值型
长城军工,601606.SH,工业,资本品,航空航天与国防,航空航天与国防,成长型
上海医药,601607.SH,医药卫生,医药生物,制药,药品经销商,价值型
中信重工,601608.SH,工业,资本品,机械制造,工程机械,成长型
金田铜业,601609.SH,原材料,原材料,有色金属,铜,成长型
中国核建,601611.SH,工业,资本品,建筑与工程,土木工程,成长型
明阳智能,601615.SH,工业,资本品,电气设备,新能源设备,成长型
广电电气,601616.SH,工业,资本品,电气设备,电气部件与设备,成长型
中国中冶,601618.SH,工业,资本品,建筑与工程,土木工程,价值型
嘉泽新能,601619.SH,公用事业,公用事业,电力,新能源发电,成长型
中国人寿,601628.SH,金融地产,保险,保险,人寿与健康保险,混合型
长城汽车,601633.SH,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,混合型
旗滨集团,601636.SH,原材料,原材料,建筑材料,玻璃,价值型
邮储银行,601658.SH,金融地产,银行,商业银行,综合性银行,价值型
齐鲁银行,601665.SH,金融地产,银行,商业银行,区域性银行,价值型
平煤股份,601666.SH,能源,能源,煤炭,煤炭,价值型
中国建筑,601668.SH,工业,资本品,建筑与工程,土木工程,价值型
中国电建,601669.SH,工业,资本品,建筑与工程,土木工程,价值型
明泰铝业,601677.SH,原材料,原材料,有色金属,铝,混合型
滨化股份,601678.SH,原材料,原材料,化学原料,化学原料,价值型
友发集团,601686.SH,原材料,原材料,有色金属,其它有色金属及合金,成长型
华泰证券,601688.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
拓普集团,601689.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
中银证券,601696.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
中国卫通,601698.SH,电信业务,电信服务,电信增值服务,电信增值服务,混合型
潞安环能,601699.SH,能源,能源,煤炭,煤炭,价值型
风范股份,601700.SH,工业,资本品,电气设备,电气部件与设备,价值型
华峰铝业,601702.SH,原材料,原材料,有色金属,铝,成长型
郑煤机,601717.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
际华集团,601718.SH,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
上海电气,601727.SH,工业,资本品,电气设备,新能源设备,价值型
中国电信,601728.SH,电信业务,电信服务,电信运营服务,电信运营服务,价值型
中国中车,601766.SH,工业,资本品,机械制造,铁路设备,价值型
力帆科技,601777.SH,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,成长型
晶科科技,601778.SH,公用事业,公用事业,电力,新能源发电,混合型
光大证券,601788.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
宁波建工,601789.SH,工业,资本品,建筑与工程,土木工程,成长型
蓝科高新,601798.SH,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,混合型
星宇股份,601799.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
中国交建,601800.SH,工业,资本品,建筑与工程,土木工程,价值型
皖新传媒,601801.SH,可选消费,传媒,传媒,出版,价值型
中海油服,601808.SH,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,混合型
新华文轩,601811.SH,可选消费,传媒,传媒,出版,价值型
京沪高铁,601816.SH,工业,交通运输,道路运输,铁路运输,价值型
光大银行,601818.SH,金融地产,银行,商业银行,综合性银行,价值型
沪农商行,601825.SH,金融地产,银行,商业银行,区域性银行,价值型
三峰环境,601827.SH,工业,资本品,环保设备、工程与服务,环保工程,价值型
美凯龙,601828.SH,工业,商业服务与用品,商业服务与用品,市场服务,价值型
成都银行,601838.SH,金融地产,银行,商业银行,区域性银行,价值型
中国石油,601857.SH,能源,能源,石油与天然气,综合性石油与天然气企业,价值型
中国科传,601858.SH,可选消费,传媒,传媒,出版,价值型
紫金银行,601860.SH,金融地产,银行,商业银行,区域性银行,价值型
福莱特,601865.SH,工业,资本品,电气设备,新能源设备,成长型
中远海发,601866.SH,工业,交通运输,航运,航运,成长型
长飞光纤,601869.SH,电信业务,通信设备,通信设备,通信传输设备,价值型
招商轮船,601872.SH,工业,交通运输,航运,航运,混合型
正泰电器,601877.SH,工业,资本品,电气设备,电气部件与设备,混合型
浙商证券,601878.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
辽港股份,601880.SH,工业,交通运输,交通基本设施,港口,成长型
中国银河,601881.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
海天精工,601882.SH,工业,资本品,机械制造,通用机械,混合型
江河集团,601886.SH,工业,资本品,建筑与工程,建筑装修,价值型
中国中免,601888.SH,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,成长型
亚星锚链,601890.SH,工业,资本品,机械制造,船舶制造,成长型
中煤能源,601898.SH,能源,能源,煤炭,煤炭,价值型
紫金矿业,601899.SH,原材料,原材料,有色金属,黄金及其它贵金属,混合型
南方传媒,601900.SH,可选消费,传媒,传媒,出版,价值型
方正证券,601901.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
京运通,601908.SH,工业,资本品,电气设备,新能源设备,混合型
浙商银行,601916.SH,金融地产,银行,商业银行,区域性银行,价值型
新集能源,601918.SH,能源,能源,煤炭,煤炭,价值型
中远海控,601919.SH,工业,交通运输,航运,航运,混合型
浙版传媒,601921.SH,可选消费,传媒,传媒,出版,成长型
凤凰传媒,601928.SH,可选消费,传媒,传媒,出版,价值型
吉视传媒,601929.SH,可选消费,传媒,传媒,广播与有线电视,价值型
永辉超市,601933.SH,主要消费,食品与主要用品零售,食品与主要用品零售,大卖场与超市,混合型
建设银行,601939.SH,金融地产,银行,商业银行,综合性银行,价值型
中国出版,601949.SH,可选消费,传媒,传媒,出版,价值型
苏垦农发,601952.SH,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,价值型
东贝集团,601956.SH,工业,资本品,机械制造,通用机械,混合型
金钼股份,601958.SH,原材料,原材料,有色金属,稀有金属,混合型
重庆银行,601963.SH,金融地产,银行,商业银行,综合性银行,价值型
中国汽研,601965.SH,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
玲珑轮胎,601966.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,混合型
宝钢包装,601968.SH,原材料,原材料,容器与包装,金属与玻璃容器,混合型
海南矿业,601969.SH,原材料,原材料,钢铁,钢铁,价值型
招商南油,601975.SH,工业,交通运输,航运,航运,成长型
中国核电,601985.SH,公用事业,公用事业,电力,核电,价值型
中国银行,601988.SH,金融地产,银行,商业银行,综合性银行,价值型
中国重工,601989.SH,工业,资本品,机械制造,船舶制造,混合型
南京证券,601990.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
大唐发电,601991.SH,公用事业,公用事业,电力,火电,成长型
金隅集团,601992.SH,原材料,原材料,建筑材料,其他建材,价值型
中金公司,601995.SH,金融地产,银行,商业银行,综合性银行,混合型
丰林集团,601996.SH,原材料,原材料,纸类与林业产品,林业产品,混合型
贵阳银行,601997.SH,金融地产,银行,商业银行,区域性银行,价值型
中信银行,601998.SH,金融地产,银行,商业银行,综合性银行,价值型
出版传媒,601999.SH,可选消费,传媒,传媒,出版,混合型
人民网,603000.SH,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
奥康国际,603001.SH,可选消费,耐用消费品与服装,纺织服装,鞋类,价值型
宏昌电子,603002.SH,原材料,原材料,化学制品,纤维及树脂,成长型
龙宇燃油,603003.SH,能源,能源,石油与天然气,石油与天然气的炼制和营销,价值型
晶方科技,603005.SH,信息技术,半导体,半导体,半导体,成长型
联明股份,603006.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
ST花王,603007.SH,工业,资本品,建筑与工程,园林工程,价值型
喜临门,603008.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,价值型
北特科技,603009.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
万盛股份,603010.SH,原材料,原材料,化学制品,其他化学制品,混合型
合锻智能,603011.SH,工业,资本品,机械制造,通用机械,混合型
创力集团,603012.SH,工业,资本品,机械制造,其他机械设备,成长型
亚普股份,603013.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
弘讯科技,603015.SH,工业,资本品,机械制造,通用机械,成长型
新宏泰,603016.SH,工业,资本品,电气设备,电气部件与设备,混合型
中衡设计,603017.SH,工业,资本品,建筑与工程,土木工程,混合型
华设集团,603018.SH,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
中科曙光,603019.SH,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
爱普股份,603020.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
山东华鹏,603021.SH,原材料,原材料,容器与包装,金属与玻璃容器,价值型
新通联,603022.SH,原材料,原材料,容器与包装,纸材料包装,混合型
威帝股份,603023.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
大豪科技,603025.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
石大胜华,603026.SH,原材料,原材料,化学原料,化学原料,成长型
千禾味业,603027.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
赛福天,603028.SH,原材料,原材料,钢铁,钢铁,成长型
天鹅股份,603029.SH,工业,资本品,机械制造,其他机械设备,成长型
全筑股份,603030.SH,工业,资本品,建筑与工程,建筑装修,成长型
安德利,603031.SH,主要消费,食品与主要用品零售,食品与主要用品零售,大卖场与超市,价值型
*ST德新,603032.SH,工业,交通运输,道路运输,公路运输,成长型
三维股份,603033.SH,原材料,原材料,化学制品,橡胶制品,成长型
常熟汽饰,603035.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
如通股份,603036.SH,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,成长型
凯众股份,603037.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
华立股份,603038.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
泛微网络,603039.SH,信息技术,计算机运用,软件开发,软件开发,成长型
新坐标,603040.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
美思德,603041.SH,原材料,原材料,化学制品,其他化学制品,成长型
华脉科技,603042.SH,电信业务,通信设备,通信设备,通信传输设备,混合型
广州酒家,603043.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
福达合金,603045.SH,工业,资本品,电气设备,电气部件与设备,混合型
科林电气,603050.SH,工业,资本品,电气设备,电气部件与设备,成长型
成都燃气,603053.SH,公用事业,公用事业,燃气,燃气,成长型
台华新材,603055.SH,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
德邦股份,603056.SH,工业,交通运输,航空货运与物流,物流,价值型
永吉股份,603058.SH,工业,商业服务与用品,商业服务与用品,商业印刷,成长型
倍加洁,603059.SH,主要消费,家庭与个人用品,家常用品,家常用品,成长型
国检集团,603060.SH,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
禾望电气,603063.SH,工业,资本品,电气设备,新能源设备,混合型
音飞储存,603066.SH,工业,资本品,机械制造,通用机械,混合型
振华股份,603067.SH,原材料,原材料,化学原料,化学原料,混合型
博通集成,603068.SH,信息技术,半导体,半导体,半导体,成长型
海汽集团,603069.SH,工业,交通运输,道路运输,公路运输,价值型
乐惠国际,603076.SH,工业,资本品,机械制造,其他机械设备,成长型
和邦生物,603077.SH,原材料,原材料,化学原料,化学原料,混合型
江化微,603078.SH,原材料,原材料,化学制品,其他化学制品,混合型
圣达生物,603079.SH,医药卫生,医药生物,制药,化学药,成长型
新疆火炬,603080.SH,公用事业,公用事业,燃气,燃气,成长型
大丰实业,603081.SH,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,混合型
剑桥科技,603083.SH,电信业务,通信设备,通信设备,通信终端设备,价值型
天成自控,603085.SH,工业,资本品,机械制造,工程机械,成长型
先达股份,603086.SH,原材料,原材料,化学制品,化肥与农药,混合型
甘李药业,603087.SH,医药卫生,医药生物,生物科技,生物科技,混合型
宁波精达,603088.SH,工业,资本品,机械制造,其他机械设备,成长型
正裕工业,603089.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
宏盛股份,603090.SH,工业,资本品,机械制造,通用机械,混合型
南华期货,603093.SH,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
越剑智能,603095.SH,工业,资本品,机械制造,其他机械设备,成长型
新经典,603096.SH,可选消费,传媒,传媒,出版,混合型
森特股份,603098.SH,工业,资本品,建筑与工程,建筑装修,成长型
长白山,603099.SH,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
川仪股份,603100.SH,工业,资本品,机械制造,其他机械设备,混合型
汇嘉时代,603101.SH,可选消费,零售业,多元化零售,百货商店,混合型
横店影视,603103.SH,可选消费,传媒,传媒,电影与娱乐,价值型
芯能科技,603105.SH,工业,资本品,电气设备,新能源设备,混合型
恒银科技,603106.SH,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,价值型
润达医疗,603108.SH,医药卫生,医药生物,制药与生物科技服务,制药与生物科技服务,混合型
神驰机电,603109.SH,工业,资本品,机械制造,通用机械,成长型
东方材料,603110.SH,原材料,原材料,化学制品,印染化学品,混合型
康尼机电,603111.SH,工业,资本品,机械制造,铁路设备,价值型
华翔股份,603112.SH,原材料,原材料,有色金属,其它有色金属及合金,成长型
金能科技,603113.SH,能源,能源,煤炭,煤炭,价值型
海星股份,603115.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
红蜻蜓,603116.SH,可选消费,耐用消费品与服装,纺织服装,鞋类,价值型
万林物流,603117.SH,工业,交通运输,航空货运与物流,物流,价值型
共进股份,603118.SH,电信业务,通信设备,通信设备,通信终端设备,混合型
华培动力,603121.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
翠微股份,603123.SH,可选消费,零售业,多元化零售,百货商店,价值型
中材节能,603126.SH,工业,资本品,环保设备、工程与服务,环保服务,成长型
昭衍新药,603127.SH,医药卫生,医药生物,制药与生物科技服务,制药与生物科技服务,成长型
华贸物流,603128.SH,工业,交通运输,航空货运与物流,物流,混合型
春风动力,603129.SH,可选消费,汽车与汽车零部件,汽车与摩托车,摩托车,成长型
上海沪工,603131.SH,工业,资本品,机械制造,通用机械,成长型
碳元科技,603133.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,价值型
天目湖,603136.SH,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
海量数据,603138.SH,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
康惠制药,603139.SH,医药卫生,医药生物,制药,中药,混合型
新亚强,603155.SH,原材料,原材料,化学原料,化学原料,成长型
养元饮品,603156.SH,主要消费,食品、饮料与烟草,饮料,软饮料,价值型
*ST拉夏,603157.SH,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
腾龙股份,603158.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
上海亚虹,603159.SH,工业,资本品,机械制造,其他机械设备,混合型
汇顶科技,603160.SH,信息技术,半导体,半导体,半导体,成长型
科华控股,603161.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
荣晟环保,603165.SH,原材料,原材料,纸类与林业产品,纸制品,价值型
福达股份,603166.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
渤海轮渡,603167.SH,工业,交通运输,航运,航运,价值型
莎普爱思,603168.SH,医药卫生,医药生物,制药,化学药,价值型
兰石重装,603169.SH,工业,资本品,机械制造,其他机械设备,价值型
税友股份,603171.SH,信息技术,计算机运用,软件开发,软件开发,成长型
德创环保,603177.SH,工业,资本品,环保设备、工程与服务,环保设备,价值型
圣龙股份,603178.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
新泉股份,603179.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
金牌厨柜,603180.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
皇马科技,603181.SH,原材料,原材料,化学制品,其他化学制品,价值型
建研院,603183.SH,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
上机数控,603185.SH,工业,资本品,电气设备,新能源设备,成长型
华正新材,603186.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
海容冷链,603187.SH,工业,资本品,机械制造,其他机械设备,成长型
亚邦股份,603188.SH,原材料,原材料,化学制品,印染化学品,价值型
网达软件,603189.SH,信息技术,计算机运用,软件开发,软件开发,成长型
汇得科技,603192.SH,原材料,原材料,化学制品,纤维及树脂,混合型
公牛集团,603195.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
日播时尚,603196.SH,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
保隆科技,603197.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
迎驾贡酒,603198.SH,主要消费,食品、饮料与烟草,饮料,白酒,混合型
九华旅游,603199.SH,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
上海洗霸,603200.SH,工业,资本品,环保设备、工程与服务,环保服务,成长型
快克股份,603203.SH,工业,资本品,机械制造,其他机械设备,混合型
江山欧派,603208.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
赛伍技术,603212.SH,工业,资本品,电气设备,新能源设备,混合型
爱婴室,603214.SH,可选消费,零售业,其他零售,其他零售,混合型
元利科技,603217.SH,原材料,原材料,化学原料,化学原料,价值型
日月股份,603218.SH,工业,资本品,电气设备,新能源设备,成长型
中贝通信,603220.SH,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
爱丽家居,603221.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
济民医疗,603222.SH,医药卫生,医疗器械与服务,医疗器械,医疗器械,混合型
恒通股份,603223.SH,能源,能源,石油与天然气,石油与天然气的储存和运输,成长型
新凤鸣,603225.SH,原材料,原材料,化学制品,纤维及树脂,价值型
菲林格尔,603226.SH,原材料,原材料,纸类与林业产品,林业产品,价值型
雪峰科技,603227.SH,原材料,原材料,化学制品,其他化学制品,成长型
景旺电子,603228.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
奥翔药业,603229.SH,医药卫生,医药生物,制药,化学药,成长型
格尔软件,603232.SH,信息技术,计算机运用,软件开发,软件开发,成长型
大参林,603233.SH,医药卫生,医药生物,制药,药品经销商,混合型
移远通信,603236.SH,电信业务,通信设备,通信设备,通信传输设备,成长型
诺邦股份,603238.SH,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
浙江仙通,603239.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
宏和科技,603256.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
电魂网络,603258.SH,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
药明康德,603259.SH,医药卫生,医药生物,制药与生物科技服务,制药与生物科技服务,成长型
合盛硅业,603260.SH,原材料,原材料,非金属采矿及制品,非金属采矿及制品,混合型
天龙股份,603266.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
鸿远电子,603267.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
松发股份,603268.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,价值型
海鸥股份,603269.SH,工业,资本品,机械制造,通用机械,混合型
银都股份,603277.SH,工业,资本品,机械制造,其他机械设备,混合型
大业股份,603278.SH,原材料,原材料,钢铁,钢铁,混合型
景津环保,603279.SH,工业,资本品,机械制造,通用机械,成长型
赛腾股份,603283.SH,工业,资本品,机械制造,其他机械设备,成长型
日盈电子,603286.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
海天味业,603288.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
泰瑞机器,603289.SH,工业,资本品,机械制造,其他机械设备,混合型
斯达半导,603290.SH,信息技术,半导体,半导体,半导体,成长型
永新光学,603297.SH,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
杭叉集团,603298.SH,工业,资本品,机械制造,工程机械,价值型
苏盐井神,603299.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
华铁应急,603300.SH,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
振德医疗,603301.SH,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
得邦照明,603303.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
旭升股份,603305.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
华懋科技,603306.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
应流股份,603308.SH,工业,资本品,机械制造,其他机械设备,成长型
维力医疗,603309.SH,医药卫生,医疗器械与服务,医疗器械,医疗器械,混合型
金海高科,603311.SH,工业,资本品,环保设备、工程与服务,环保设备,混合型
梦百合,603313.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
福鞍股份,603315.SH,工业,资本品,机械制造,通用机械,混合型
诚邦股份,603316.SH,工业,资本品,环保设备、工程与服务,环保服务,混合型
天味食品,603317.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
水发燃气,603318.SH,工业,资本品,机械制造,其他机械设备,混合型
湘油泵,603319.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
迪贝电气,603320.SH,工业,资本品,机械制造,通用机械,混合型
梅轮电梯,603321.SH,工业,资本品,机械制造,其他机械设备,价值型
超讯通信,603322.SH,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
苏农银行,603323.SH,金融地产,银行,商业银行,区域性银行,价值型
盛剑环境,603324.SH,工业,资本品,环保设备、工程与服务,环保设备,成长型
我乐家居,603326.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
福蓉科技,603327.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
依顿电子,603328.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
上海雅仕,603329.SH,工业,交通运输,航空货运与物流,物流,价值型
上海天洋,603330.SH,原材料,原材料,化学制品,纤维及树脂,成长型
百达精工,603331.SH,工业,资本品,机械制造,通用机械,混合型
苏州龙杰,603332.SH,原材料,原材料,化学制品,纤维及树脂,混合型
尚纬股份,603333.SH,工业,资本品,电气设备,电气部件与设备,成长型
迪生力,603335.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
宏辉果蔬,603336.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
杰克股份,603337.SH,工业,资本品,机械制造,其他机械设备,混合型
浙江鼎力,603338.SH,工业,资本品,机械制造,其他机械设备,成长型
四方科技,603339.SH,工业,资本品,机械制造,其他机械设备,成长型
安井食品,603345.SH,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
文灿股份,603348.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
威尔药业,603351.SH,原材料,原材料,化学制品,其他化学制品,混合型
和顺石油,603353.SH,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
莱克电气,603355.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
华菱精工,603356.SH,工业,资本品,机械制造,其他机械设备,成长型
设计总院,603357.SH,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
华达科技,603358.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
东珠生态,603359.SH,工业,资本品,建筑与工程,园林工程,价值型
百傲化学,603360.SH,原材料,原材料,化学制品,其他化学制品,成长型
傲农生物,603363.SH,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
水星家纺,603365.SH,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
日出东方,603366.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
辰欣药业,603367.SH,医药卫生,医药生物,制药,化学药,混合型
柳药股份,603368.SH,医药卫生,医药生物,制药,药品经销商,混合型
今世缘,603369.SH,主要消费,食品、饮料与烟草,饮料,白酒,混合型
东方时尚,603377.SH,可选消费,消费者服务,综合消费者服务,教育服务,价值型
亚士创能,603378.SH,原材料,原材料,化学制品,涂料涂漆,混合型
三美股份,603379.SH,原材料,原材料,化学原料,化学原料,价值型
易德龙,603380.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
顶点软件,603383.SH,信息技术,计算机运用,软件开发,软件开发,混合型
惠达卫浴,603385.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,混合型
广东骏亚,603386.SH,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
基蛋生物,603387.SH,医药卫生,医药生物,制药,化学药,混合型
元成股份,603388.SH,工业,资本品,建筑与工程,园林工程,混合型
亚振家居,603389.SH,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,价值型
通达电气,603390.SH,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
