,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
泸州老窖,000568.SZ,主要消费,食品、饮料与烟草,饮料,白酒,混合型
苏常柴A,000570.SZ,工业,资本品,机械制造,通用机械,成长型
ST大洲,000571.SZ,能源,能源,煤炭,煤炭,价值型
海马汽车,000572.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,混合型
粤宏远A,000573.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
甘化科工,000576.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
威孚高科,000581.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
北部湾港,000582.SZ,工业,交通运输,交通基本设施,港口,价值型
哈工智能,000584.SZ,工业,资本品,机械制造,其他机械设备,混合型
*ST东电,000585.SZ,工业,资本品,电气设备,电气部件与设备,价值型
汇源通信,000586.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
*ST金洲,000587.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
贵州轮胎,000589.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,混合型
启迪药业,000590.SZ,医药卫生,医药生物,制药,中药,混合型
太阳能,000591.SZ,公用事业,公用事业,电力,新能源发电,价值型
平潭发展,000592.SZ,原材料,原材料,纸类与林业产品,林业产品,价值型
大通燃气,000593.SZ,公用事业,公用事业,燃气,燃气,混合型
宝塔实业,000595.SZ,工业,资本品,机械制造,通用机械,混合型
古井贡酒,000596.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
东北制药,000597.SZ,医药卫生,医药生物,制药,化学药,成长型
兴蓉环境,000598.SZ,公用事业,公用事业,水务,水务,价值型
青岛双星,000599.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,混合型
建投能源,000600.SZ,公用事业,公用事业,电力,火电,价值型
韶能股份,000601.SZ,公用事业,公用事业,电力,水电,混合型
盛达资源,000603.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
渤海股份,000605.SZ,公用事业,公用事业,水务,水务,价值型
ST顺利,000606.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
华媒控股,000607.SZ,可选消费,传媒,传媒,营销与广告,价值型
阳光股份,000608.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,成长型
*ST中迪,000609.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
西安旅游,000610.SZ,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,混合型
*ST天首,000611.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
焦作万方,000612.SZ,原材料,原材料,有色金属,铝,成长型
*ST东海A,000613.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
奥园美谷,000615.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
ST海投,000616.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
中油资本,000617.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,成长型
海螺型材,000619.SZ,工业,资本品,建筑产品,建筑产品,混合型
新华联,000620.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
恒立实业,000622.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
吉林敖东,000623.SZ,医药卫生,医药生物,制药,中药,混合型
长安汽车,000625.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
远大控股,000626.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
天茂集团,000627.SZ,金融地产,保险,保险,人寿与健康保险,成长型
高新发展,000628.SZ,工业,资本品,建筑与工程,土木工程,成长型
攀钢钒钛,000629.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
铜陵有色,000630.SZ,原材料,原材料,有色金属,铜,混合型
顺发恒业,000631.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
三木集团,000632.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
合金投资,000633.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
英力特,000635.SZ,原材料,原材料,化学原料,化学原料,混合型
风华高科,000636.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
茂化实华,000637.SZ,原材料,原材料,化学原料,化学原料,混合型
*ST万方,000638.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健技术,价值型
西王食品,000639.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
仁和药业,000650.SZ,医药卫生,医药生物,制药,中药,价值型
格力电器,000651.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
泰达股份,000652.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
金岭矿业,000655.SZ,原材料,原材料,钢铁,钢铁,混合型
金科股份,000656.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
中钨高新,000657.SZ,原材料,原材料,有色金属,稀有金属,混合型
珠海中富,000659.SZ,原材料,原材料,容器与包装,金属与玻璃容器,价值型
长春高新,000661.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
*ST永林,000663.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,价值型
湖北广电,000665.SZ,可选消费,传媒,传媒,广播与有线电视,价值型
经纬纺机,000666.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,混合型
美好置业,000667.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
荣丰控股,000668.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
ST金鸿,000669.SZ,公用事业,公用事业,燃气,燃气,价值型
*ST盈方,000670.SZ,信息技术,半导体,半导体,半导体,成长型
阳光城,000671.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
上峰水泥,000672.SZ,原材料,原材料,建筑材料,水泥,价值型
*ST当代,000673.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
智度股份,000676.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
恒天海龙,000677.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
襄阳轴承,000678.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
大连友谊,000679.SZ,可选消费,零售业,多元化零售,百货商店,价值型
山推股份,000680.SZ,工业,资本品,机械制造,工程机械,混合型
视觉中国,000681.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
东方电子,000682.SZ,工业,资本品,电气设备,电气部件与设备,成长型
远兴能源,000683.SZ,原材料,原材料,化学原料,化学原料,价值型
中山公用,000685.SZ,公用事业,公用事业,水务,水务,成长型
东北证券,000686.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
*ST华讯,000687.SZ,工业,资本品,航空航天与国防,航空航天与国防,价值型
国城矿业,000688.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
宝新能源,000690.SZ,公用事业,公用事业,电力,新能源发电,成长型
亚太实业,000691.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
惠天热电,000692.SZ,公用事业,公用事业,供热或其他公用事业,供热或其他公用事业,混合型
滨海能源,000695.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,混合型
炼石航空,000697.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
沈阳化工,000698.SZ,原材料,原材料,化学原料,化学原料,混合型
模塑科技,000700.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
厦门信达,000701.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
正虹科技,000702.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
恒逸石化,000703.SZ,原材料,原材料,化学制品,纤维及树脂,混合型
浙江震元,000705.SZ,医药卫生,医药生物,制药,药品经销商,成长型
*ST双环,000707.SZ,原材料,原材料,化学原料,化学原料,价值型
中信特钢,000708.SZ,原材料,原材料,钢铁,钢铁,混合型
河钢股份,000709.SZ,原材料,原材料,钢铁,钢铁,价值型
贝瑞基因,000710.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
京蓝科技,000711.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
锦龙股份,000712.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
丰乐种业,000713.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
中兴商业,000715.SZ,可选消费,零售业,多元化零售,百货商店,价值型
黑芝麻,000716.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
韶钢松山,000717.SZ,原材料,原材料,钢铁,钢铁,价值型
苏宁环球,000718.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
中原传媒,000719.SZ,可选消费,传媒,传媒,出版,混合型
新能泰山,000720.SZ,金融地产,房地产,房地产开发与园区,园区,成长型
西安饮食,000721.SZ,可选消费,消费者服务,酒店、餐馆与休闲,餐馆,价值型
湖南发展,000722.SZ,公用事业,公用事业,电力,水电,混合型
美锦能源,000723.SZ,能源,能源,煤炭,煤炭,价值型
京东方A,000725.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
鲁泰A,000726.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
冠捷科技,000727.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
国元证券,000728.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
燕京啤酒,000729.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,价值型
四川美丰,000731.SZ,原材料,原材料,化学制品,化肥与农药,混合型
泰禾集团,000732.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
振华科技,000733.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
罗牛山,000735.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
中交地产,000736.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
南风化工,000737.SZ,原材料,原材料,化学原料,化学原料,成长型
航发控制,000738.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
普洛药业,000739.SZ,医药卫生,医药生物,制药,化学药,成长型
国海证券,000750.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
锌业股份,000751.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
